ID,Address,USDT Amount,wBTC Amount,claimedAt,claimReqId,claimReqStatus,airdropId
1720,0xD2225a137E328502b8a8f8e98BFEf59b7Ff25cb4,0.110011,0.00380248,2023-06-25T02:25:19.441Z,7dc3a299-a3cb-4aab-91da-40ec7a3fc1af,pending,4
1721,0xA6143CE392a02ca9534C72D8fccbF1E65Df6A4BE,5.0005,0.0003728,2023-06-25T03:02:02.850Z,251a47d6-c52f-4eee-8439-db0935b20fa0,pending,6
1722,0xF5b39B0435bB1db291E49d89b138fD7B205679e9,5.0005,0.0003728,2023-06-25T04:02:49.367Z,6052297f-f60c-44d8-9674-94996829ba4a,pending,6
1723,0xCb7d19A8f86cf919EE4FefD7eb5EF4C31fB868a8,25.0025,0.000897,2023-06-25T06:15:26.089Z,474e8730-f1e8-407e-935f-5f89ad73e8a4,pending,5
1724,0xCb7d19A8f86cf919EE4FefD7eb5EF4C31fB868a8,0.05000499999999999,0.0017284,2023-06-25T06:15:48.874Z,7810227b-3b56-4b20-a6e3-a3fbf7e52707,pending,4
1725,0xCb7d19A8f86cf919EE4FefD7eb5EF4C31fB868a8,65.0065,0.00212115,2023-06-25T06:16:02.181Z,f178a384-9f3a-4822-ae3d-6c89ad46f760,pending,3
1726,0xCb7d19A8f86cf919EE4FefD7eb5EF4C31fB868a8,50.005225,0.0021757,2023-06-25T06:16:12.938Z,a1252a81-092a-4527-941b-0c64c4bbbec9,pending,2
1727,0x405D9415Ae465a3b0394F66c487289d37452673f,20.002,0.0014912,2023-06-25T06:28:19.271Z,2524e1db-d8aa-486b-8ea9-d391880551d5,pending,6
1728,0x8e429377F1B80a271F4AFb395538f532463dc94c,40.00418,0.00174056,2023-06-25T07:51:42.337Z,3b5fa639-cba7-41bb-b454-f8812dc9458b,pending,2
1729,0x8e429377F1B80a271F4AFb395538f532463dc94c,52.0052,0.00169692,2023-06-25T07:52:13.659Z,9ff98de1-16d3-4cea-a17a-d7b59028d08c,pending,3
1730,0x8e429377F1B80a271F4AFb395538f532463dc94c,0.040004,0.00138272,2023-06-25T07:52:30.809Z,ad943ff7-62b2-4834-a665-5d8511f7c6fb,pending,4
1731,0x8e429377F1B80a271F4AFb395538f532463dc94c,15.0015,0.0005382,2023-06-25T07:52:55.205Z,7e72edb2-409e-4849-811b-d8e21c7988ae,pending,5
1732,0x8e429377F1B80a271F4AFb395538f532463dc94c,20.002,0.0014912,2023-06-25T07:53:10.755Z,376b50d3-9bb0-486f-868d-c0369eabf7a0,pending,6
1736,0x9eBa5857930dcC9183bB92ee6B9DCd1622A8f477,50.005,0.003728,2023-06-25T13:18:15.452Z,47964a2e-7213-4b7d-9695-d3e2279d5c10,pending,6
1737,0x622dd34382000423624cbE5bd44c97F3b766179A,5.0005,0.0003728,2023-06-25T13:44:36.087Z,0678ea4b-d29d-48fe-8ffb-652fe6a12790,pending,6
1740,0xE1Cc01332a79c270C1F682D2990A3Cfc8be6cec5,0.010001,0.00034568,2023-06-25T13:50:06.464Z,443458a5-5e39-4e5b-875a-899d4292d80a,pending,4
1741,0xbF6e7c82b5fC864A03f0F7bA9A4bC1c8977C72d0,10.001045,0.00043514,2023-06-25T16:34:48.086Z,b6cea0e9-457a-4642-8d4e-541e287a2fbd,pending,2
1742,0xbF6e7c82b5fC864A03f0F7bA9A4bC1c8977C72d0,13.0013,0.00042423,2023-06-25T16:36:42.572Z,560ddf70-1e22-4a7c-80c7-b97cf8c30392,pending,3
1743,0xbF6e7c82b5fC864A03f0F7bA9A4bC1c8977C72d0,0.010001,0.00034568,2023-06-25T16:37:00.040Z,bef8bee5-0d94-4da2-abae-3cad5e140613,pending,4
1744,0xbF6e7c82b5fC864A03f0F7bA9A4bC1c8977C72d0,5.0005,0.0001794,2023-06-25T16:37:16.262Z,a26c874a-f805-407a-b30e-93e569e20db0,pending,5
1745,0xbF6e7c82b5fC864A03f0F7bA9A4bC1c8977C72d0,5.0005,0.0003728,2023-06-25T16:37:28.080Z,aa7f57c7-9e21-41d0-9de6-d484b7b57edf,pending,6
1746,0x2674A1b941653B230c784a77ed8459FE09Acc63a,10.001045,0.00043514,2023-06-25T17:20:23.251Z,503ba3e9-c547-4fd8-8a7a-0d9e742ee0fa,pending,2
1747,0x2674A1b941653B230c784a77ed8459FE09Acc63a,13.0013,0.00042423,2023-06-25T17:20:45.688Z,05ba4e0d-494b-4eb5-af6c-382ace8d3309,pending,3
1748,0x2674A1b941653B230c784a77ed8459FE09Acc63a,0.010001,0.00034568,2023-06-25T17:20:59.183Z,5c96e0af-1b88-4852-8aa1-d74dbe4f3152,pending,4
1749,0x2674A1b941653B230c784a77ed8459FE09Acc63a,5.0005,0.0003728,2023-06-25T17:21:45.391Z,73219897-5961-43c2-b480-98af3760e289,pending,6
1750,0x6e6Dc8214F0cEA542AB857eB9804b0c6232D1C24,45.0045,0.0033552,2023-06-25T22:21:02.106Z,2a2d188d-4b8e-42e7-a974-f9df7cfb5117,pending,6
1751,0x6e6Dc8214F0cEA542AB857eB9804b0c6232D1C24,5.0005,0.0003728,2023-06-25T22:21:43.121Z,7fe68043-2851-4cb5-8ff7-ef51ffe9153f,pending,6
1752,0x1F80C96733B740FfE1B65f0D6B8e200DEE3f66Fc,50.005225,0.0021757,2023-06-25T22:50:51.360Z,0423ce35-57e6-4626-b9cb-0bb5262c23c3,pending,2
